"","typeH","typeN"
"AB000409","1.08461175193616e-20","6.33981844123535e-21"
"AB000463","6.40992506521127e-20","3.51903730231544e-20"
"AB000781","5.3748561426829e-10","1.47540530177541e-10"
"AB001328","2.99777568465759e-13","2.76433257450465e-13"
"AB002294","1.82103756056753e-20","2.67477598720064e-20"
"AB002308","3.13048192083489e-21","2.27213365964102e-21"
"AB002311","1.61996632496425e-19","7.03494967850002e-20"
"AB002313","1.42821612940558e-23","1.30633262408672e-23"
"AB002360","1.50316309395322e-16","1.94207516417829e-16"
"AB002377","1.17098705946918e-14","3.15626548824496e-15"
"AB002381","4.61984871342863e-16","1.68165016650719e-16"
"AB002382","1.23564678260818e-21","5.76127431129586e-22"
"AB002384","4.64401903033317e-11","2.35237918092263e-11"
"AB003177","1.23035813515278e-20","1.86630781100602e-20"
"AB003333","1.15197599476283e-18","1.85372897251825e-18"
"AB006589","1.45724151002519e-16","9.09083319610289e-17"
"AB006590","4.62132182466626e-14","2.8257053459087e-14"
"AB006621","1.01587834060886e-11","2.08853414090114e-12"
"AB006625","5.42362066713123e-12","8.92050753834679e-13"
"AB007457","4.18897528842949e-23","4.019818613648e-23"
"AB007870","4.38575544620157e-16","3.31049883315047e-16"
"AB007877","3.33764037096558e-10","8.32350145828161e-10"
"AB007878","9.53357840413171e-11","3.65661868432328e-11"
"AB007895","3.33676017009568e-15","4.63718303525195e-15"
"AB007921","7.25415034491307e-13","1.44022879454328e-12"
"AB007923","5.8413541189403e-14","4.67116179485917e-14"
"AB007928","1.74012638462521e-18","2.59852501408923e-18"
"AB007937","1.60006816910322e-16","7.60464278944153e-17"
"AB007940","5.0217839753455e-17","2.36573361840125e-17"
"AB008790","1.34677912366578e-14","1.17701071590611e-14"
"AB010419","8.91196812791278e-18","7.38476145176741e-18"
"AB010962","3.03918758614248e-13","1.68909740750234e-13"
"AB011088","7.1113756025952e-19","2.14052031734864e-19"
"AB011097","1.35233552430927e-16","9.50192988235552e-17"
"AB011103","4.80356402349531e-16","3.62287549797303e-16"
"AB011123","5.77899835952373e-13","2.91815263622675e-13"
"AB011154","7.13614830972385e-13","1.59364324222462e-12"
"AB011157","1.00858563741664e-17","5.894054499378e-18"
"AB011163","3.77930024087229e-14","4.22147319491648e-14"
"AB011174","3.46442116307484e-21","8.42244027691302e-21"
"AB011180","1.43040354117328e-12","8.65967070147012e-13"
"AB011539","1.59329444124561e-12","1.90646249773618e-12"
"AB012143","3.49028869089096e-18","2.69499067639058e-18"
"AB012614","4.81576612370168e-13","1.63064022884284e-13"
"AB014512","6.87797872031094e-13","1.14175521154385e-13"
"AB014514","1.19017227862371e-20","1.13622548016479e-20"
"AB014527","1.33818983899238e-19","1.41210055652243e-19"
"AB014576","3.90029952355238e-21","2.4955411177831e-21"
"AB014593","1.67954542893086e-13","4.92126348742197e-14"
"AB014601","1.40559355340312e-15","9.76085746176236e-16"
"AB014605","3.68422567664841e-14","3.96283881234989e-15"
"AB014771","3.70185533541333e-15","2.95056062237995e-15"
"AB015046","1.00939250935954e-16","8.263488028611e-17"
"AB015983","6.58247430404688e-16","3.50632325664386e-16"
"AB016073","3.75385142518398e-14","9.71064380709665e-14"
"AB016898","6.46848707801006e-14","1.37266815445846e-13"
"AB016902","1.14441523885909e-16","1.327228035138e-16"
"AB016929","2.77694338027279e-10","3.69117556651939e-11"
"AB017007","1.725760196094e-14","4.20745804370845e-14"
"AB018258","2.64681200907452e-12","1.0517403803768e-11"
"AB018263","6.55638337206367e-16","7.62222449468302e-16"
"AB018269","1.9578128819352e-22","2.21747394416271e-22"
